group_column,group_value,model,attack_rows,true_positive,false_negative,recall,false_negative_rate
attack_type,From-Botnet-V54-TCP-CC7-Custom-Encryption,xgboost,1,0,1,0.0,1.0
attack_type,From-Botnet-V54-TCP-CC7-Custom-Encryption,xgboost_gru,1,0,1,0.0,1.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-1,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-1,xgboost,1,0,1,0.0,1.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-1,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-12,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-12,xgboost,1,0,1,0.0,1.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-12,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-34,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-34,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-34,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-yieldmanager-8,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-yieldmanager-8,xgboost,1,1,0,1.0,0.0
